Time,UUID,RSSI
20231101 11:14:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52
20231101 11:14:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20231101 11:14:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66
20231101 11:14:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67
20231101 11:14:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-70
20231101 11:14:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76
20231101 11:14:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81
20231101 11:14:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56
20231101 11:14:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-66
20231101 11:14:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20231101 11:14:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:14:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76
20231101 11:14:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20231101 11:14:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-84
20231101 11:14:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65
20231101 11:14:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20231101 11:14:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68
20231101 11:14:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20231101 11:14:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20231101 11:14:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:14:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:14:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53
20231101 11:14:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20231101 11:14:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67
20231101 11:14:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68
20231101 11:14:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20231101 11:14:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80
20231101 11:14:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-84
20231101 11:14:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56
20231101 11:14:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20231101 11:14:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20231101 11:14:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:14:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-76
20231101 11:14:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:14:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-88
20231101 11:14:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56
20231101 11:14:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20231101 11:14:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20231101 11:14:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:14:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75
20231101 11:14:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:14:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-85
20231101 11:15:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53
20231101 11:15:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65
20231101 11:15:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-69
20231101 11:15:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20231101 11:15:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:15:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20231101 11:15:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-87
20231101 11:15:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56
20231101 11:15:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58
20231101 11:15:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65
20231101 11:15:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20231101 11:15:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:15:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20231101 11:15:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-87
20231101 11:15:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56
20231101 11:15:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-62
20231101 11:15:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65
20231101 11:15:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20231101 11:15:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20231101 11:15:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77
20231101 11:15:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20231101 11:15:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56
20231101 11:15:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
20231101 11:15:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20231101 11:15:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65
20231101 11:15:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20231101 11:15:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20231101 11:15:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-88
20231101 11:15:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-53
20231101 11:15:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20231101 11:15:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69
20231101 11:15:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73
20231101 11:15:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:15:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20231101 11:15:23,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:15:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-56
20231101 11:15:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-61
