Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro,Distance
20240115 08:25:23,0.110037,0.672728,0.88284,-0.183916,-0.25188,-0.070759,-35.887234,-31.356655,-1.684158,113.86088,0.76783055,0.5823641,-0.52218854,-0.117237136,-0.25208583,0.2782822,0.006
20240115 08:25:23,0.020878,0.888326,1.388473,-0.160478,-0.358415,-0.094197,-36.205318,-31.567684,-1.80751,114.96284,1.1367519,0.72837174,-0.6533561,-0.116579115,-0.35428905,0.30918753,0.006
20240115 08:25:23,-0.077305,1.06417,1.660646,-0.107211,-0.461753,-0.105916,-36.062534,-31.565006,-1.136414,116.54585,1.2954136,0.850617,-0.71535873,-0.08731991,-0.45153204,0.30807722,0.006
20240115 08:25:23,-0.151549,1.151477,1.657322,-0.032636,-0.552308,-0.115504,-36.213902,-31.854595,-1.520927,115.57191,1.2613355,0.9260055,-0.6422782,-0.04863562,-0.53471684,0.27237046,0.006
20240115 08:25:23,-0.020208,1.515557,1.266,0.036611,-0.592791,-0.106981,-36.372433,-31.297237,-1.826828,110.90131,1.0137122,1.3926076,-0.71330714,-0.029845186,-0.5787911,0.19831266,0.006
20240115 08:25:23,0.336176,1.888226,0.730959,0.082421,-0.549112,-0.100589,-36.415455,-30.830372,-1.72377,107.74091,0.7026122,1.8536198,-1.0560983,-0.03408323,-0.54119664,0.12702021,0.006
20240115 08:25:23,0.670113,2.074526,0.301441,0.103728,-0.442577,-0.119765,-36.652096,-30.570004,-1.341202,100.15245,0.5861546,2.0759676,-1.2852298,-0.10143596,-0.44893882,0.042617228,0.006
20240115 08:25:23,0.820398,2.111613,-0.077113,0.088813,-0.271056,-0.142137,-36.202747,-31.009502,-1.174072,95.83478,0.34480035,2.07248,-1.346952,-0.13854086,-0.28557885,-0.010139156,0.006
20240115 08:25:23,0.980273,2.262227,-0.480106,-0.009199,0.034699,-0.171967,-36.538776,-31.410564,-1.28521,94.82605,0.097105175,2.1486158,-1.5605915,-0.16200167,0.013465228,0.003204444,0.006
20240115 08:25:23,0.960724,1.73581,-0.037796,-0.170066,0.257356,-0.266783,-36.123875,-31.096287,-1.301598,103.07063,0.3674295,1.7195156,-1.4909945,-0.29972818,0.24956453,0.0922558,0.006
20240115 08:25:23,0.467435,1.16505,0.881247,-0.358633,0.340454,-0.37971,-36.726391,-31.88834,-1.925743,114.43454,0.8722603,1.0912647,-1.0679337,-0.5345275,0.35824746,0.24888247,0.006
20240115 08:25:23,-0.479157,0.730067,2.168682,-0.522696,0.282925,-0.45748,-36.566433,-31.311848,-1.827805,123.358055,1.3101432,0.21351492,-0.63541484,-0.7189088,0.29319957,0.43786317,0.006
20240115 08:25:23,-1.328081,0.276038,3.4413,-0.621774,0.082639,-0.473461,-36.053959,-31.278103,-1.423004,128.10277,1.5402665,-0.7302252,-0.54711115,-0.76890343,0.063450105,0.61702764,0.006
20240115 08:25:23,-1.972664,0.013243,4.432481,-0.607924,-0.244422,-0.436173,-35.694645,-32.47591,-1.475212,132.04861,1.5177475,-1.5309007,-0.73525834,-0.6620262,-0.27293694,0.7641081,0.006
20240115 08:25:23,-2.430256,-0.455986,4.745711,-0.501389,-0.562962,-0.339227,-35.836285,-33.054249,-1.304901,133.52254,1.3214679,-2.2210965,-0.5161916,-0.44651732,-0.5754397,0.81179476,0.006
20240115 08:25:23,-2.384937,-0.609189,4.52501,-0.290451,-0.804796,-0.201797,-35.614613,-33.138363,-0.761314,133.39563,1.4246538,-2.2683733,-0.2271347,-0.14309391,-0.77720827,0.7193212,0.006
