Time,UUID,RSSI
20220321 01:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77
20220321 01:24:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20220321 01:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-50
20220321 01:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59
20220321 01:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 01:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 01:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72
20220321 01:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20220321 01:24:31,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-82
20220321 01:24:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-50
20220321 01:24:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 01:24:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 01:24:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 01:24:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72
20220321 01:24:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20220321 01:24:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-82
20220321 01:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-52
20220321 01:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64
20220321 01:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 01:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 01:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71
20220321 01:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20220321 01:24:35,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80
20220321 01:24:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51
20220321 01:24:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 01:24:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67
20220321 01:24:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 01:24:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20220321 01:24:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20220321 01:24:40,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80
20220321 01:24:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51
20220321 01:24:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 01:24:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67
20220321 01:24:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 01:24:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20220321 01:24:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20220321 01:24:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-80
20220321 01:24:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51
20220321 01:24:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67
20220321 01:24:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 01:24:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69
20220321 01:24:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71
20220321 01:24:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72
20220321 01:24:44,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73
20220321 01:24:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51
20220321 01:24:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67
20220321 01:24:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67
20220321 01:24:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 01:24:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68
20220321 01:24:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 01:24:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72
20220321 01:24:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51
20220321 01:24:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67
20220321 01:24:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 01:24:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68
20220321 01:24:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71
20220321 01:24:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20220321 01:24:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77
20220321 01:24:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51
20220321 01:24:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 01:24:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68
20220321 01:24:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68
20220321 01:24:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71
20220321 01:24:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75
20220321 01:24:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77
20220321 01:24:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-51
20220321 01:24:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 01:24:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68
20220321 01:24:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-69
20220321 01:24:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71
20220321 01:24:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 01:24:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77
20220321 01:25:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-47
20220321 01:25:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 01:25:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68
20220321 01:25:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71
20220321 01:25:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 01:25:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77
